County,Solds,Ave List Price,Ave Sold Price,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number,Unnamed: 3
Appling,3.0,"$201,833","$190,000",,,,,,,,,
Bacon,0.0,$0,$0,,,,,,,,,
Baldwin,21.0,"$310,790","$299,605",,,,,,,,,
Baldwin (AL),0.0,$0,$0,,,,,,,,,
Banks,11.0,"$356,673","$350,436",,,,,,,,,
Barrow,111.0,"$381,800","$376,914",,,,,,,,,
Bartow,85.0,"$340,733","$332,085",,,,,,,,,
Ben Hill,0.0,$0,$0,,,,,,,,,
Berrien,0.0,$0,$0,,,,,,,,,
Bibb,87.0,"$218,747","$210,941",,,,,,,,,
Bleckley,3.0,"$113,000","$103,333",,,,,,,,,
Brantley,1.0,"$199,000","$205,000",,,,,,,,,
Brooks,0.0,$0,$0,,,,,,,,,
Bryan,7.0,"$363,250","$353,429",,,,,,,,,
Bulloch,39.0,"$284,387","$282,345",,,,,,,,,
Burke,2.0,"$264,450","$249,750",,,,,,,,,
Butts,28.0,"$273,385","$264,147",,,,,,,,,
Calhoun,0.0,$0,$0,,,,,,,,,
Calhoun (AL),1.0,"$69,900","$48,000",,,,,,,,,
Camden,69.0,"$320,376","$318,468",,,,,,,,,
Candler,1.0,"$350,000","$340,000",,,,,,,,,
Carroll,94.0,"$334,908","$325,785",,,,,,,,,
Catoosa,3.0,"$233,267","$234,967",,,,,,,,,
Chambers (AL),13.0,"$154,238","$150,169",,,,,,,,,
Charlton,4.0,"$304,200","$303,575",,,,,,,,,
Chatham,20.0,"$255,593","$251,603",,,,,,,,,
Chattahoochee,0.0,$0,$0,,,,,,,,,
Chattooga,5.0,"$321,920","$311,960",,,,,,,,,
Cherokee,245.0,"$475,998","$465,880",,,,,,,,,
Cherokee (AL),0.0,$0,$0,,,,,,,,,
Clarke,52.0,"$355,979","$346,997",,,,,,,,,
Clay,1.0,"$389,000","$389,000",,,,,,,,,
Clayton,181.0,"$250,734","$246,628",,,,,,,,,
Cleburne (AL),1.0,"$189,900","$178,000",,,,,,,,,
Clinch,0.0,$0,$0,,,,,,,,,
Cobb,505.0,"$487,135","$476,870",,,,,,,,,
Coffee,1.0,"$29,900","$19,000",,,,,,,,,
Colquitt,2.0,"$137,975","$123,750",,,,,,,,,
Columbia,2.0,"$204,950","$203,000",,,,,,,,,
Cook,0.0,$0,$0,,,,,,,,,
Coweta,161.0,"$440,505","$436,404",,,,,,,,,
Crawford,2.0,"$232,500","$219,000",,,,,,,,,
Crisp,4.0,"$305,500","$299,625",,,,,,,,,
Dade,0.0,$0,$0,,,,,,,,,
Dawson,27.0,"$491,769","$475,910",,,,,,,,,
Decatur,0.0,$0,$0,,,,,,,,,
DeKalb,390.0,"$470,016","$461,302",,,,,,,,,
DeKalb (AL),1.0,"$449,900","$449,000",,,,,,,,,
Dodge,3.0,"$223,333","$214,000",,,,,,,,,
Dooly,0.0,$0,$0,,,,,,,,,
Dougherty,3.0,"$102,500","$100,400",,,,,,,,,
Douglas,131.0,"$326,977","$322,402",,,,,,,,,
Early,0.0,$0,$0,,,,,,,,,
Effingham,11.0,"$395,249","$389,536",,,,,,,,,
Elbert,7.0,"$185,128","$178,857",,,,,,,,,
Emanuel,11.0,"$242,527","$232,914",,,,,,,,,
Evans,1.0,"$135,000","$95,000",,,,,,,,,
Fannin,26.0,"$702,615","$662,458",,,,,,,,,
Fayette,114.0,"$509,008","$502,293",,,,,,,,,
Fl Counties,0.0,$0,$0,,,,,,,,,
Floyd,76.0,"$245,626","$230,680",,,,,,,,,
Forsyth,147.0,"$623,479","$611,056",,,,,,,,,
Franklin,13.0,"$313,902","$303,800",,,,,,,,,
Fulton,534.0,"$594,398","$579,615",,,,,,,,,
Gilmer,37.0,"$446,066","$427,889",,,,,,,,,
Glascock,0.0,$0,$0,,,,,,,,,
Glynn,16.0,"$455,843","$443,480",,,,,,,,,
Gordon,35.0,"$298,981","$294,850",,,,,,,,,
Grady,1.0,"$135,000","$137,050",,,,,,,,,
Greene,22.0,"$958,146","$903,032",,,,,,,,,
Gwinnett,606.0,"$434,129","$425,600",,,,,,,,,
Habersham,33.0,"$335,510","$324,801",,,,,,,,,
Hall,153.0,"$459,380","$445,889",,,,,,,,,
Hancock,3.0,"$491,300","$476,633",,,,,,,,,
Haralson,27.0,"$303,450","$299,110",,,,,,,,,
Harris,13.0,"$381,261","$365,845",,,,,,,,,
Hart,22.0,"$388,259","$371,832",,,,,,,,,
Heard,4.0,"$189,725","$183,000",,,,,,,,,
Henry,323.0,"$383,063","$378,095",,,,,,,,,
Houston,153.0,"$261,614","$256,380",,,,,,,,,
Irwin,0.0,$0,$0,,,,,,,,,
Jackson,78.0,"$423,166","$413,850",,,,,,,,,
Jasper,18.0,"$294,936","$292,108",,,,,,,,,
Jeff Davis,2.0,"$194,000","$187,500",,,,,,,,,
Jefferson,1.0,"$259,900","$266,900",,,,,,,,,
Jenkins,2.0,"$108,450","$106,000",,,,,,,,,
Johnson,0.0,$0,$0,,,,,,,,,
Jones,12.0,"$253,200","$244,167",,,,,,,,,
Lamar,29.0,"$236,165","$233,241",,,,,,,,,
Lanier,0.0,$0,$0,,,,,,,,,
Laurens,19.0,"$253,666","$241,584",,,,,,,,,
Lee,0.0,$0,$0,,,,,,,,,
Lee (AL),2.0,"$305,400","$304,400",,,,,,,,,
Liberty,11.0,"$228,990","$228,508",,,,,,,,,
Lincoln,1.0,"$482,000","$455,000",,,,,,,,,
Long,3.0,"$274,967","$274,667",,,,,,,,,
Lowndes,2.0,"$406,400","$399,250",,,,,,,,,
Lumpkin,24.0,"$421,471","$416,533",,,,,,,,,
